,TOTAL,PRECIPITACION_LAG1,day_sin,day_cos
0,0.045809448009752264,0.0,0.508606757778765,0.9999259182325311
1,0.15478361324078085,0.0,0.517210965189451,0.9997036948821507
2,0.0836431289186203,0.0,0.5258100726197082,0.9993333957984336
3,0.5445685865597409,0.008333333333333333,0.5344015319684214,0.9988151307089901
4,0.5747589639226669,0.0,0.5429827974007665,0.9981490531869511
5,0.5845817507732296,0.0,0.5515513261025968,0.9973353606054616
6,0.5513488281499243,0.0,0.5601045790339344,0.9963742940791944
7,0.5653996111183872,0.0,0.5686400216813411,0.9952661383929028
8,0.19967626781114725,0.0,0.5771551248089506,0.9940112219170325
9,0.08856963432367174,0.018518518518518517,0.5856473652079353,0.9926099165104187
10,0.5591969829771943,0.0,0.5941142264441872,0.991062637410096
11,0.5839974208887859,0.0,0.6025531996039925,0.9893698431082549
12,0.5647414004439564,0.0,0.6109617840374757,0.9875320352163806
13,0.558736907148638,0.0,0.6193374880995972,0.9855497583166142
14,0.5484775519936059,0.0,0.6276778298884809,0.9834235998003825
15,0.18506130426460068,0.0,0.6359803379808554,0.9811541896943401
16,0.08829761868781,0.0,0.6442425521643902,0.9787422004736793
17,0.5392155875034002,0.0,0.6524620241667093,0.976188346862861
18,0.5398368577828374,0.0,0.6606363183808679,0.973493385623827
19,0.5331036312408278,0.0,0.6687630125870745,0.9706581153317544
20,0.5326234061059114,0.0,0.6768396986704476,0.9676833761384206
21,0.5068524432713071,0.037037037037037035,0.6848639833345912,0.964570049523249
22,0.17348552776070683,0.0,0.6928334888107813,0.9613190580321067
23,0.08394201029629554,0.06481481481481481,0.7007458535625493,0.9579313650039347
24,0.5245301013845931,0.0,0.7085987329854563,0.9544079742852897
25,0.5374222992373487,0.0,0.7163898001018503,0.9507499299328824
26,0.5487092690167474,0.0,0.7241167462503998,0.9469583159042017
27,0.5157819442065706,0.0,0.7317772817701997,0.943034255736314
28,0.5227468877717217,0.027777777777777776,0.7393691366792479,0.9389789122129351
29,0.1919926656524849,0.0,0.7468900613470887,0.9347934870198725
30,0.09356666230098362,0.0,0.7543378271614285,0.9304792203889398
31,0.5629447539601782,0.0,0.7617102271885207,0.9260373907304493
32,0.5744533661095383,0.0,0.7690050768271275,0.9214693142543913
33,0.5840813763319531,0.0,0.7762202144558653,0.9167763445804128
34,0.5753231445007505,0.0,0.7833535020737394,0.9119598723367108
35,0.5727306004157473,0.0,0.7904028259336797,0.907021324747959
36,0.19444752281069388,0.0,0.7973660971688896,0.9019621652123908
37,0.08374051723269425,0.37037037037037035,0.8042412524118222,0.8967838928681618
38,0.10465549723450769,0.09259259259259259,0.8110262544056013,0.8914880421491242
39,0.1087995379092408,0.0,0.8177190926077037,0.8860761823301397
40,0.5919866208605769,0.0,0.8243177837857267,0.8805499170620703
41,0.5920772927391974,0.0,0.8308203726050631,0.8749108838965813
42,0.5723376889417248,0.41666666666666663,0.8372249322083083,0.8691607538009001
43,0.18611914284850742,0.0,0.8435295647862299,0.863301230662672
44,0.10074317358291607,0.0,0.8497324021401302,0.8573340507850616
45,0.5711623127373839,0.0,0.855831606235433,0.8512609823722492
46,0.5781776295684354,0.3611111111111111,0.8618253697463332,0.8450838250054727
47,0.5839033907924386,0.0,0.8677119165913464,0.8388044091097742
48,0.604969490591953,0.28703703703703703,0.8734895024596006,0.8324245954116043
49,0.5570242161080271,0.027777777777777776,0.8791564153277124,0.8259462743874493
50,0.21697444732131763,0.0,0.8847109759670969,0.8193713657036426
51,0.09956779737857524,0.0,0.8901515384415595,0.8127018176475251
52,0.6040694882412005,0.0,0.8954764905950221,0.8059396065501265
53,0.6165553417490269,0.0,0.9006842545292397,0.7990867362005356
54,0.5998918653892006,0.0,0.9057732870713657,0.792145237252134
55,0.631993068638612,0.06481481481481481,0.9107420802312278,0.7851171666208697
56,0.5775865832485383,0.1388888888888889,0.9155891616481773,0.7780046068757491
57,0.22613230706199605,0.0,0.9203130950273818,0.7708096656217263
58,0.1002797395366331,0.0,0.9249124805654301,0.7635344748751745
59,0.6209310994469015,0.037037037037037035,0.9293859553651244,0.7561811904321232
60,0.6108396551782038,0.0,0.9337321938393361,0.7487519912294497
61,0.6527938692377181,0.0,0.937949908103806,0.7412490786992132
62,0.6595909019165348,0.0,0.9420378483587715,0.7336746761163224
63,0.6585901530339817,0.027777777777777776,0.9459948032593103,0.7260310279397317
64,0.24272526084956192,0.0,0.949819600274287,0.7183203991473592
65,0.1079230430825752,0.0,0.9535111060338006,0.7105450745649251
66,0.6634562105199528,0.0,0.9570682266650249,0.7027073581889085
67,0.6880417224970363,0.0,0.9604899081163483,0.6948095725038231
68,0.6624756109437598,0.0,0.9637751364697105,0.686854057794016
69,0.677234977852554,0.001851851851851852,0.9669229382410496,0.6788431714501894
70,0.67397414843994,0.0,0.9699323806687655,0.6707792872708562
71,0.26323725472417275,0.0,0.9728025719901179,0.6626647947589317
72,0.11529768921038226,0.0,0.9755326617054744,0.6545020984136722
73,0.6816846163404158,0.0,0.9781218408303322,0.6462936170181701
74,0.7312451935508786,0.0,0.9805693421350374,0.6380417829226167
75,0.7368702082430811,0.0,0.9828744403721323,0.6297490413235435
76,0.6910036705319752,0.25925925925925924,0.985036452491261,0.6214178495392583
77,0.6283359695342488,0.008333333333333333,0.9870547378415725,0.6130506762816887
78,0.2678279383565554,0.0,0.9889286983615595,0.6046500009248492
79,0.11984807423004462,0.10185185185185185,0.9906577787562763,0.5962183127701497
80,0.6944525601372838,0.018518518518518517,0.9922414666618855,0.5877581103087609
